site;lat;lon;year;month;tmean;prec
b1;50,07;10,44;1902;9;11,7;26
b1;50,07;10,44;1902;10;6,4;50
b1;50,07;10,44;1902;11;0,8;12
b1;50,07;10,44;1902;12;-2,6;102
b1;50,07;10,44;1903;1;-0,3;68
b1;50,07;10,44;1903;2;3,2;13
b1;50,07;10,44;1903;3;5,1;25
b1;50,07;10,44;1903;4;4,2;48
b1;50,07;10,44;1903;5;12,3;31
b1;50,07;10,44;1903;6;14,9;37
b1;50,07;10,44;1903;7;15,9;88
b1;50,07;10,44;1903;8;15,2;70
b1;50,07;10,44;1903;9;12,9;50
b1;50,07;10,44;1903;10;9,1;83
b1;50,07;10,44;1903;11;4,3;86
b1;50,07;10,44;1903;12;-1,4;15
b1;50,07;10,44;1904;1;-2,3;41
b1;50,07;10,44;1904;2;1;74
b1;50,07;10,44;1904;3;3;41
b1;50,07;10,44;1904;4;8,8;43
b1;50,07;10,44;1904;5;12,2;50
b1;50,07;10,44;1904;6;15,2;45
b1;50,07;10,44;1904;7;18,9;13
b1;50,07;10,44;1904;8;16,1;66
b1;50,07;10,44;1904;9;11,4;69
b1;50,07;10,44;1904;10;7,8;46
b1;50,07;10,44;1904;11;2,5;59
b1;50,07;10,44;1904;12;1,8;48
b1;50,07;10,44;1905;1;-3;51
b1;50,07;10,44;1905;2;0,8;38
b1;50,07;10,44;1905;3;4,4;83
b1;50,07;10,44;1905;4;6,1;40
b1;50,07;10,44;1905;5;11,8;12
b1;50,07;10,44;1905;6;16,7;55
b1;50,07;10,44;1905;7;18,9;48
b1;50,07;10,44;1905;8;16,3;58
b1;50,07;10,44;1905;9;12,3;58
b1;50,07;10,44;1905;10;3,6;95
b1;50,07;10,44;1905;11;2,7;52
b1;50,07;10,44;1905;12;0,3;27
b1;50,07;10,44;1906;1;0,5;70
b1;50,07;10,44;1906;2;-0,3;37
b1;50,07;10,44;1906;3;1,5;92
b1;50,07;10,44;1906;4;7,5;30
b1;50,07;10,44;1906;5;12,7;95
b1;50,07;10,44;1906;6;14,3;66
b1;50,07;10,44;1906;7;16,8;98
b1;50,07;10,44;1906;8;15,8;63
b1;50,07;10,44;1906;9;11,8;66
b1;50,07;10,44;1906;10;9,3;30
b1;50,07;10,44;1906;11;5,4;64
b1;50,07;10,44;1906;12;-2,4;62
b1;50,07;10,44;1907;1;-0,5;45
b1;50,07;10,44;1907;2;-1,6;38
b1;50,07;10,44;1907;3;2,3;46
b1;50,07;10,44;1907;4;5,5;40
b1;50,07;10,44;1907;5;12,7;68
b1;50,07;10,44;1907;6;14,4;55
b1;50,07;10,44;1907;7;14,1;83
b1;50,07;10,44;1907;8;15,7;29
b1;50,07;10,44;1907;9;12,6;34
b1;50,07;10,44;1907;10;10,3;32
b1;50,07;10,44;1907;11;3;40
b1;50,07;10,44;1907;12;0,8;63
b1;50,07;10,44;1908;1;-4,2;23
b1;50,07;10,44;1908;2;0,6;67
b1;50,07;10,44;1908;3;1,7;27
b1;50,07;10,44;1908;4;5;68
b1;50,07;10,44;1908;5;13,2;72
b1;50,07;10,44;1908;6;17,1;58
b1;50,07;10,44;1908;7;16,6;67
b1;50,07;10,44;1908;8;13,7;145
b1;50,07;10,44;1908;9;11,2;39
b1;50,07;10,44;1908;10;7,1;5
b1;50,07;10,44;1908;11;0,8;34
b1;50,07;10,44;1908;12;-0,9;20
b1;50,07;10,44;1909;1;-2,4;40
b1;50,07;10,44;1909;2;-3,1;52
b1;50,07;10,44;1909;3;1,5;31
b1;50,07;10,44;1909;4;7,6;52
b1;50,07;10,44;1909;5;10,8;33
b1;50,07;10,44;1909;6;13,7;85
b1;50,07;10,44;1909;7;14,4;130
b1;50,07;10,44;1909;8;15,9;31
b1;50,07;10,44;1909;9;12,1;69
b1;50,07;10,44;1909;10;9,2;36
b1;50,07;10,44;1909;11;1,4;66
b1;50,07;10,44;1909;12;1,7;68
b1;50,07;10,44;1910;1;0,7;58
b1;50,07;10,44;1910;2;2;58
b1;50,07;10,44;1910;3;3,1;16
b1;50,07;10,44;1910;4;6,9;38
